id,email,name,segment,acquisition_channel,registration_date,country,city,is_active,lifetime_value
998f42ac-720e-47c9-bb12-e3652f25a80a,figueroajohn@example.org,Megan Mcclain,Standard,Referral,2024-06-08 15:49:39.010782,BT,Johnsonland,True,50.02
fcecd6a9-e560-46aa-bbac-160c5276d445,hoffmanjennifer@example.net,Connie Lawrence,Premium,Referral,2023-03-05 14:13:33.551356,AF,Lake Roberto,True,446.42
ccd590d9-07fc-43ee-9098-feb95d478307,susanrogers@example.org,Ian Cooper,Standard,Paid Search,2023-05-09 11:54:08.713293,IN,Lake Stephenville,True,1353.4
76e9b4b4-e015-4ab3-afe6-d20fe53ea7a8,smiller@example.net,Shannon Ray,Premium,Social Media,2025-06-09 06:56:22.784006,MA,North Donnaport,True,173.88
3dcc0b4a-cb2c-4e13-9193-84ee2bacd492,michellejames@example.com,Holly Wood,Standard,Referral,2025-06-22 13:17:17.287030,GE,Jacquelineland,True,59.59
6b34492f-dae7-436b-9535-33827ea23bf3,amandasanchez@example.com,William Bowman,Standard,Social Media,2024-05-06 11:07:50.005743,TH,Lake Mark,True,1010.71
eb1d2b52-3916-4b6f-9a92-058dd986b783,perezantonio@example.com,Austin Gentry,Premium,Paid Search,2024-10-27 21:11:57.199894,TN,Jasonfort,False,397.68
7a2c3d97-4bbd-4c95-8617-70035c9a13ff,ithomas@example.org,Kimberly Burgess,Basic,Direct,2023-09-15 12:41:05.364849,NP,Coxberg,True,1089.88
e9c971e1-693a-4b5a-ac5b-027f8453b506,camposmichelle@example.org,Rebecca Henderson,Standard,Email,2024-01-18 07:47:51.203820,BI,Jamesmouth,True,1178.53
38b737ba-8dc0-4848-8933-b22874cac399,frazierdanny@example.net,Patricia Peterson,Premium,Email,2024-02-08 18:54:36.106319,KE,Mooretown,True,13.0
f14351b6-4a28-4873-895d-eb42d1bab18c,teresa28@example.org,Elizabeth Fowler,Standard,Referral,2025-05-19 03:24:23.252134,UZ,East Nathaniel,True,1396.28
b40bc471-0494-4991-aa1b-8929b600218f,georgetracy@example.org,Sherry Decker,Standard,Organic Search,2023-01-02 00:56:31.816951,KP,North John,True,310.96
2f4f9eef-a1d6-4ae7-9606-1295c2e55865,millertodd@example.org,Kim Martinez,Standard,Paid Search,2024-03-21 16:35:10.869273,KM,Arroyoburgh,True,673.19
fe77394a-5c34-4dc5-9f05-54b83416525f,ibrandt@example.net,Michelle Ross,Premium,Email,2023-04-25 10:54:37.193534,SV,Samuelhaven,False,193.43
97a30dd6-8237-4cc0-aa47-b55b9d27e970,jeffreymorgan@example.net,Leah Smith,Standard,Direct,2023-11-15 17:29:57.914616,KN,East Carloston,True,1207.45
d23c2cda-8446-447d-b70a-f9848cb085ac,palmerjoshua@example.com,Carlos Walls,Premium,Direct,2025-02-04 22:42:53.146185,TO,Sanchezfort,True,1459.46
fb4ef0ed-72dd-4eaf-97c2-692679d371bb,clintonhopkins@example.com,John Daniel,Premium,Email,2024-12-09 19:36:59.737944,GQ,North Richardmouth,True,1946.23
c2f61222-e3e3-4f2d-9991-4d82826e3169,wrightjames@example.com,Clifford Ford,Standard,Social Media,2024-12-02 06:02:50.526519,BO,Mortonside,True,1104.08
12db3a08-8486-430b-9588-e931d4b1df1b,novaksara@example.org,John Lewis,Basic,Referral,2022-10-24 07:22:30.663861,MZ,East Nicholasfurt,True,1237.04
ac618f5b-f519-4b72-bb42-28479fa2672e,smitchell@example.net,Kristi Higgins MD,Standard,Paid Search,2023-04-25 14:45:39.679394,KE,North Beth,True,1154.7
2235c64b-3b66-4f16-a325-83776cd866b5,brian97@example.net,Kim Brown,Basic,Email,2024-02-23 02:54:03.490705,SE,Port Jacobland,True,91.65
